title,released,rating_x,ratings_count_x,metacritic_score,genres,platforms,developer,publisher,rating_y,user score,ratings_count_y
50 YEARS,2016-08-23,,12.0,,,,,,,,
5D CHESS WITH MULTIVERSE TIME TRAVEL,2020-07-22,,14.0,,,,,,,,
60 PARSECS!,2018-09-17,EVERYONE 10+,55.0,68.0,,,,,,,
60 PARSECS!,2018-09-18,,,,ADVENTURE,PC,ROBOT GENTLEMAN,ROBOT GENTLEMAN,,7.1,27.0
60 SECONDS!,2015-05-25,EVERYONE 10+,128.0,63.0,,,,,,,
60 SECONDS! REATOMIZED,2019-07-25,TEEN,65.0,,,,,,,,
6180 THE MOON,2014-09-19,,22.0,,,,,,,,
64.0,2017-03-16,EVERYONE,16.0,,,,,,,,
6TH PLANET,2011-02-24,,,,ADVENTURE,IOS (IPHONE/IPAD),MONKUBE,MONKUBE,,0.0,0.0
7 BILLION HUMANS,2018-08-22,EVERYONE,62.0,77.0,,,,,,,
7 DAYS TO DIE,2013-12-13,MATURE,443.0,,,,,,,,
7 DAYS TO DIE,2016-06-28,,,,SURVIVAL,PLAYSTATION 4,IRON GALAXY STUDIOS,TELLTALE GAMES,RATED M FOR MATURE,5.6,157.0
7 GRAND STEPS: WHAT ANCIENTS BEGAT,2013-06-07,,20.0,,,,,,,,
7 WONDERS II,2007-08-14,,6.0,60.0,,,,,,,
7 WONDERS OF THE ANCIENT WORLD,2007-04-23,,,,MATCHING PUZZLE,IOS (IPHONE/IPAD),HOT LAVA GAMES,MUMBOJUMBO,RATED E FOR EVERYONE,6.0,0.0
7 WONDERS OF THE ANCIENT WORLD,2007-09-17,EVERYONE,14.0,62.0,,,,,,,
7 WONDERS: ANCIENT ALIEN MAKEOVER,2012-10-23,,11.0,,,,,,,,
7 WONDERS: MAGICAL MYSTERY TOUR,2011-10-04,,4.0,,,,,,,,
7 WONDERS: TREASURES OF SEVEN,2008-11-13,,5.0,,,,,,,,
"7,62 HIGH CALIBRE",2014-04-30,,20.0,,,,,,,,
7554,2012-07-20,,,,FPS,PC,EMOBI GAMES,EMOBI GAMES,,7.4,90.0
7TH DRAGON III CODE VFD,2016-07-12,,,,JRPG,3DS,SEGA,SEGA,RATED T FOR TEEN,7.9,60.0
7TH LEGION,1997-09-29,MATURE,7.0,,,,,,,,
7TH SECTOR,2019-03-05,TEEN,28.0,74.0,,,,,,,
8-BIT ARMIES,2016-04-21,EVERYONE 10+,23.0,69.0,,,,,,,
8-BIT ARMIES: ARENA (FREE),2017-02-17,,6.0,,,,,,,,
8-BIT BAYONETTA,2017-03-31,,98.0,,,,,,,,
8-BIT COMMANDO,2014-06-02,,10.0,,,,,,,,
80 DAYS,2005-12-12,,,,THIRD-PERSON ADVENTURE,PC,FROGWARES,MATRIX GAMES,RATED T FOR TEEN,7.8,15.0
80 DAYS,2014-07-30,,87.0,84.0,,,,,,,
80 DAYS,2014-07-31,,,,VISUAL NOVEL,NINTENDO SWITCH,,,,7.1,54.0
80'S OVERDRIVE,2017-12-07,EVERYONE,4.0,,,,,,,,
88 HEROES,2017-03-24,,,,2D PLATFORMER,PC,BITMAP BUREAU,RISING STAR GAMES,RATED E +10 FOR EVERYONE +10,5.8,5.0
88 HEROES 98 HEROES EDITION,2017-10-10,,,,2D PLATFORMER,NINTENDO SWITCH,BITMAP BUREAU,RISING STAR GAMES,RATED E +10 FOR EVERYONE +10,6.4,8.0
8BIT ADVENTURE ANTHOLOGY VOLUME 1,2017-10-31,,,,COMPILATION,PLAYSTATION 4,ABSTRACTION GAMES,ABSTRACTION GAMES,RATED E +10 FOR EVERYONE +10,0.0,0.0
8BIT ARMIES,2016-04-22,,,,COMMAND RTS,PC,PETROGLYPH,PETROGLYPH,RATED E +10 FOR EVERYONE +10,7.2,22.0
8BIT FIESTA,2016-09-30,,9.0,,,,,,,,
8BIT HORDES,2019-02-01,,,,COMMAND RTS,PC,PETROGLYPH,PETROGLYPH,RATED E +10 FOR EVERYONE +10,3.0,7.0
8BIT NINJA,2012-04-03,,,,RPG,IOS (IPHONE/IPAD),DOGBYTE GAMES,DOGBYTE GAMES,,0.0,0.0
8BITBOY,2014-05-05,,51.0,,,,,,,,
8BITMMO,2015-01-26,,34.0,,,,,,,,
8DOORS: ARUM'S AFTERLIFE ADVENTURE,,,7.0,,,,,,,,
8I - MAKE VR HUMAN,2016-04-25,,3.0,,,,,,,,
8INFINITY,2016-09-23,,11.0,,,,,,,,
9 CLUES 2: THE WARD,2015-07-23,TEEN,10.0,,,,,,,,
9 CLUES: THE SECRET OF SERPENT CREEK,2014-07-18,EVERYONE 10+,23.0,,,,,,,,
9 MONKEYS OF SHAOLIN,2020-10-16,TEEN,31.0,71.0,,,,,,,
9 MONKEYS OF SHAOLIN,2020-10-16,,,,3D BEAT-'EM-UP,XBOX ONE,SOBAKA,BUKA ENTERTAINMENT,RATED T FOR TEEN,6.8,22.0
9 MONKEYS OF SHAOLIN: PROLOGUE,2020-10-02,,5.0,,,,,,,,
9 YEARS OF SHADOWS,2023-03-27,,,,METROIDVANIA,PC,HALBERD STUDIOS,FREEDOM GAMES,,7.6,36.0
9.03M,2013-11-20,,22.0,,,,,,,,
911 OPERATOR,2017-02-24,,149.0,68.0,,,,,,,
911 OPERATOR,2017-02-24,,,,STRATEGY,PC,JUTSU GAMES,PLAYWAY,,6.7,71.0
99 LEVELS TO HELL,2013-02-25,,19.0,66.0,,,,,,,
99 SPIRITS,2013-11-12,,13.0,,,,,,,,
