title,released,rating,ratings_count,genres,platforms
A DETECTIVES NOVEL,2016-07-28,,26,ADVENTURE,PC
A FISHERMAN'S TALE,2019-01-22,,15,ADVENTURE,PLAYSTATION 4
A FISHERMANS TALE,2019-01-22,RATED T FOR TEEN,26,ADVENTURE,PC
A FISTFUL OF GUN,2015-09-23,,26,ACTION,PC
A FISTFUL OF GUN,2015-09-24,,16,TOP-DOWN SHOOT-'EM-UP,PC
A FOLD APART,2020-04-16,RATED E FOR EVERYONE,7,ADVENTURE,PC
A GAME OF CHANGES,2016-06-02,,2,CASUAL,MACOS
A GAME OF DWARVES,2012-10-23,,66,STRATEGY,PC
A GAME OF DWARVES,2012-10-23,,14,STRATEGY,PLAYSTATION 3
A GAME OF THRONES  GENESIS,2011-09-28,,19,STRATEGY,PC
A GAME OF THRONES GENESIS,2011-09-28,,117,REAL-TIME STRATEGY,PC
A GAME OF THRONES THE BOARD GAME  DIGITAL EDITION,2020-10-05,,11,STRATEGY,MACOS
A GOLDEN WAKE,2014-10-08,,12,ADVENTURE,MACOS
A GOLDEN WAKE,2014-10-09,,20,POINT-AND-CLICK,PC
A GOOD SNOWMAN IS HARD TO BUILD,2015-02-25,,32,INDIE,IOS
A GOOD SNOWMAN IS HARD TO BUILD,2015-12-09,,14,ACTION PUZZLE,PC
A GRANDE BAGUNÇA ESPACIAL  THE BIG SPACE MESS,2016-04-05,,31,ACTION,PC
A GUMMY'S LIFE,2018-09-25,RATED E +10 FOR EVERYONE +10,5,PARTY,NINTENDO SWITCH
A HAT IN TIME,2017-10-05,RATED E +10 FOR EVERYONE +10,556,3D PLATFORMER,PC
A HAT IN TIME,2017-10-05,,494,ACTION,XBOX ONE
A HIGHLAND SONG,2023-12-05,RATED E FOR EVERYONE,0,ADVENTURE,NINTENDO SWITCH
A HOUSE OF MANY DOORS,2017-02-03,,4,RPG,MACOS
A JUGGLER'S TALE,2021-09-29,RATED E +10 FOR EVERYONE +10,9,2D PLATFORMER,NINTENDO SWITCH
A JUGGLERS TALE,2021-09-29,,29,ACTION,PLAYSTATION 5
A KINGDOM FOR KEFLINGS,2008-11-19,RATED E FOR EVERYONE,30,STRATEGY,XBOX 360
A KINGDOM FOR KEFLINGS,,RATED E FOR EVERYONE,7,,XBOX 360
A KINGS TALE FINAL FANTASY XV,2016-11-29,,167,RPG,PLAYSTATION 4
A KISS FOR THE PETALS  REMEMBERING HOW WE MET,2015-09-24,RATED AO FOR ADULTS ONLY,16,ADVENTURE,PC
A KNIGHT'S QUEST,2019-10-10,RATED T FOR TEEN,17,OPEN-WORLD ACTION,XBOX ONE
A LAND FIT FOR HEROES,2016-05-03,RATED M FOR MATURE,6,ADVENTURE,ANDROID
A LENDA DO HERÓI,2016-03-24,,12,ADVENTURE,PC
A LITTLE GOLF JOURNEY,2021-10-14,RATED E FOR EVERYONE,0,GOLF,NINTENDO SWITCH
A LITTLE TO THE LEFT,2022-11-08,,47,CASUAL,PC
A LITTLE TO THE LEFT,2022-11-08,,11,PUZZLE,PC
A MAGICAL HIGH SCHOOL GIRL  魔法の女子高生,2016-11-22,,2,ADVENTURE,PC
A MEMOIR BLUE,2022-03-24,RATED E FOR EVERYONE,12,ADVENTURE,IOS (IPHONE/IPAD)
A MEMOIR BLUE,2022-03-24,RATED T FOR TEEN,72,ADVENTURE,XBOX SERIES S/X
A MONSTERS EXPEDITION,2020-09-10,,26,ADVENTURE,PC
A MORTICIANS TALE,2017-10-18,,22,ADVENTURE,MACOS
A MUSEUM OF DUBIOUS SPLENDORS,2017-12-11,,3,ADVENTURE,PC
