title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
BLAZERUSH,2014-10-28,TARGEM GAMES,TARGEM GAMES,AUTO RACING,RATED E +10 FOR EVERYONE +10,8.3,26,PC
BEATMANIA,2006-03-28,KONAMI,KONAMI,RHYTHM,RATED E +10 FOR EVERYONE +10,6.8,6,PLAYSTATION 2
WHITE NIGHT,2015-03-03,OSOME STUDIO,ACTIVISION,SURVIVAL,RATED M FOR MATURE,7.1,57,XBOX ONE
TEST DRIVE UNLIMITED 2,2011-02-08,EDEN STUDIOS,ATARI SA,AUTO RACING SIM,RATED T FOR TEEN,6.7,99,PC
MUGEN SOULS,2012-10-16,COMPILE HEART,NIS AMERICA,JRPG,RATED T FOR TEEN,7.4,35,PLAYSTATION 3
THE WITCHER 3 WILD HUNT,2015-05-19,CD PROJEKT RED STUDIO,WARNER BROS. INTERACTIVE ENTERTAINMENT,ACTION RPG,RATED M FOR MATURE,9.2,19581,PC
CAT CAFE MANAGER,2022-04-14,ROOST GAMES,FREEDOM GAMES,TYCOON,RATED E +10 FOR EVERYONE +10,0.0,0,PC
MIDNIGHT CLUB II,2003-04-09,ROCKSTAR SAN DIEGO,ROCKSTAR GAMES,AUTO RACING SIM,RATED T FOR TEEN,8.2,57,PLAYSTATION 2
TINY TOWER,2011-06-23,NIMBLEBIT,NIMBLEBIT,EDUTAINMENT,,7.2,33,IOS (IPHONE/IPAD)
PIRATES OUTLAWS,2019-08-27,FABLED GAME,FABLED GAME,CARD BATTLE,,7.8,21,IOS (IPHONE/IPAD)
LUNAR LEGEND,2002-12-10,GAME ARTS,UBISOFT,JRPG,RATED E FOR EVERYONE,6.3,6,GAME BOY ADVANCE
LUFIA THE RUINS OF LORE,2003-05-06,TAITO CORPORATION,ATLUS,JRPG,RATED E FOR EVERYONE,0.0,0,GAME BOY ADVANCE
STELLARIS UTOPIA,2017-04-06,PARADOX DEVELOPMENT STUDIO,PARADOX INTERACTIVE,REAL-TIME STRATEGY,,8.3,51,PLAYSTATION 4
DOLMEN,2022-05-20,MASSIVE WORK STUDIO,PRIME MATTER,ACTION RPG,RATED T FOR TEEN,6.6,27,PLAYSTATION 4
DRAGON BALL Z THE LEGACY OF GOKU II,2003-06-17,WEBFOOT TECHNOLOGIES,ATARI SA,ACTION RPG,RATED E FOR EVERYONE,8.6,49,GAME BOY ADVANCE
SPECTROBES ORIGINS,2009-08-18,GENKI,DISNEY INTERACTIVE STUDIOS,ACTION RPG,RATED E +10 FOR EVERYONE +10,8.3,14,WII
JUST DANCE 4,2012-10-09,UBISOFT,UBISOFT,DANCING,RATED E +10 FOR EVERYONE +10,7.7,38,XBOX 360
TALES OF XILLIA 2,2014-08-19,BANDAI NAMCO GAMES,BANDAI NAMCO GAMES,ACTION RPG,RATED T FOR TEEN,8.2,251,PLAYSTATION 3
LANDIT BANDIT,2010-07-13,THE BEARDED LADIES CONSULTING,THE BEARDED LADIES CONSULTING,AIRCRAFT SIM,RATED E +10 FOR EVERYONE +10,0.0,0,PLAYSTATION 3
ANNO 1800 CONSOLE EDITION,2023-03-16,UBISOFT BLUE BYTE,UBISOFT,MANAGEMENT,RATED T FOR TEEN,7.4,36,PLAYSTATION 5
DEFEND YOUR CASTLE,2008-05-12,XGENSTUDIOS,XGENSTUDIOS,DEFENSE,RATED E FOR EVERYONE,6.8,5,WII
HENRY HATSWORTH IN THE PUZZLING ADVENTURE,2009-03-17,EA TIBURON,ELECTRONIC ARTS,2D PLATFORMER,RATED E FOR EVERYONE,6.7,19,DS
DEWY'S ADVENTURE,2007-09-25,KONAMI,KONAMI,3D PLATFORMER,RATED E FOR EVERYONE,6.5,0,WII
CLUSTERTRUCK,2016-09-27,LANDFALL,TINYBUILD,3D PLATFORMER,,6.7,88,PLAYSTATION 4
NEED FOR SPEED HOT PURSUIT,2010-11-16,CRITERION GAMES,ELECTRONIC ARTS,AUTO RACING,RATED E +10 FOR EVERYONE +10,7.4,294,XBOX 360
BITTRIP CORE,2009-07-06,GAIJIN GAMES,AKSYS GAMES,RHYTHM,RATED E FOR EVERYONE,7.3,6,WII
SCORE! CLASSIC GOALS,2012-05-17,FIRST TOUCH,FIRST TOUCH,SOCCER SIM,,7.2,16,IOS (IPHONE/IPAD)
RAVENLOK,2023-05-04,COCOCUCUMBER,COCOCUCUMBER,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,7.2,102,PC
ONE TAP HERO,2012-08-23,COCONUT ISLAND GAMES,CHILLINGO,2D PLATFORMER,,6.2,6,IOS (IPHONE/IPAD)
ACES OF THE LUFTWAFFE SQUADRON,2017-11-17,HANDYGAMES,HANDYGAMES,VERTICAL SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,6.6,10,NINTENDO SWITCH
SLEEPING DOGS DEFINITIVE EDITION,2014-10-14,UNITED FRONT GAMES,SQUARE ENIX,OPEN-WORLD ACTION,RATED M FOR MATURE,7.9,640,XBOX ONE
DESTINY THE DARK BELOW,2014-12-09,BUNGIE,ACTIVISION,FPS,RATED T FOR TEEN,3.1,287,PLAYSTATION 4
NCAA FOOTBALL 06,2005-07-11,EA SPORTS,EA SPORTS,FOOTBALL SIM,RATED E FOR EVERYONE,4.4,7,XBOX
SERIOUS SAM THE RANDOM ENCOUNTER,2011-10-24,VLAMBEER,DEVOLVER DIGITAL,JRPG,,6.1,40,PC
THE SIGNIFIER,2020-10-15,PLAYMESTUDIO,RAW FURY,FIRST-PERSON ADVENTURE,,6.9,20,PC
DARWINIA+,2005-07-14,INTROVERSION,INTROVERSION,REAL-TIME STRATEGY,RATED E FOR EVERYONE,6.8,52,PC
LUCIUS,2012-10-26,SHIVER GAMES,LACE MAMBA GLOBAL,ACTION ADVENTURE,,6.0,199,PC
DEUS EX HUMAN REVOLUTION  DIRECTOR'S CUT,2013-10-22,STRAIGHT RIGHT,SQUARE ENIX,ACTION ADVENTURE,RATED M FOR MATURE,8.6,235,WII U
HELL PIE,2022-07-21,SLUGGERFLY,HEADUP GAMES,3D PLATFORMER,,7.9,10,PC
GREEN BERETS POWERED BY MYTH II,2001-07-26,TAKE-TWO INTERACTIVE,TAKE-TWO INTERACTIVE,STRATEGY,RATED M FOR MATURE,0.0,0,PC
BLACK,2006-02-28,CRITERION GAMES,EA GAMES,FPS,RATED M FOR MATURE,8.3,57,PLAYSTATION 2
SEGA GENESIS CLASSICS,2018-05-29,D3T,SEGA,COMPILATION,RATED T FOR TEEN,7.4,60,PC
HEROES OF MIGHT AND MAGIC V,2006-05-23,NIVAL INTERACTIVE,UBISOFT,TURN-BASED STRATEGY,RATED T FOR TEEN,8.1,543,PC
COMPANY OF HEROES 2,2013-06-25,RELIC ENTERTAINMENT,SEGA,REAL-TIME STRATEGY,RATED M FOR MATURE,2.2,5862,PC
MUSHIHIMESAMA,2021-06-15,CAVE,LIVE WIRE,VERTICAL SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,7.7,7,IOS (IPHONE/IPAD)
PILOT ACADEMY,2006-09-07,KUJU ENTERTAINMENT,MARVELOUS ENTERTAINMENT,AIRCRAFT COMBAT SIM,,0.0,0,PSP
MEDAL OF HONOR FRONTLINE,2002-05-29,EA LA,EA GAMES,FPS,RATED T FOR TEEN,8.3,170,PLAYSTATION 2
NARC,2005-03-22,POINT OF VIEW,MIDWAY,ACTION ADVENTURE,RATED M FOR MATURE,0.0,0,PLAYSTATION 2
MR DRILLER ONLINE,2008-04-02,NAMCO BANDAI GAMES,NAMCO BANDAI GAMES,PUZZLE,RATED E FOR EVERYONE,4.8,0,XBOX 360
OVERWATCH 2,2023-08-10,BLIZZARD ENTERTAINMENT,BLIZZARD ENTERTAINMENT,TACTICAL FPS,RATED T FOR TEEN,1.5,4190,PC
MORTAL KOMBAT SPECIAL FORCES,2000-06-30,MIDWAY,MIDWAY,3D BEAT-'EM-UP,RATED M FOR MATURE,2.8,37,PLAYSTATION
DEAR ESTHER,2012-04-26,THE CHINESE ROOM,THE CHINESE ROOM,FIRST-PERSON ADVENTURE,,6.5,742,PC
WEAPON SHOP DE OMASSE,2014-02-20,NEX ENTERTAINMENT,LEVEL 5,RPG,RATED T FOR TEEN,7.5,23,3DS
CALL OF DUTY BLACK OPS III  AWAKENING,2016-02-02,TREYARCH,ACTIVISION,FPS,,5.2,50,PLAYSTATION 4
ROVING ROGUE,2015-07-02,PADAONE GAMES,PADAONE GAMES,2D PLATFORMER,RATED E FOR EVERYONE,7.3,9,WII U
TOMB RAIDER CHRONICLES,2000-11-24,CORE DESIGN LTD.,EIDOS INTERACTIVE,LINEAR ACTION ADVENTURE,RATED T FOR TEEN,6.0,0,PLAYSTATION
MONSTERS INC SCREAM TEAM,2001-10-30,ARTIFICIAL MIND AND MOVEMENT,SCEA,3D PLATFORMER,RATED E FOR EVERYONE,7.2,28,PLAYSTATION
LUMINES LIVE!,2006-10-18,Q ENTERTAINMENT,Q ENTERTAINMENT,MATCHING PUZZLE,RATED E FOR EVERYONE,8.4,5,XBOX 360
FANTASY LIFE,2014-10-24,BROWNIE BROWN,NINTENDO,RPG,RATED E +10 FOR EVERYONE +10,8.4,282,3DS
MAGIC DUELS OF THE PLANESWALKERS 2014,2013-06-26,STAINLESS GAMES,MICROSOFT GAME STUDIOS,CARD BATTLE,RATED T FOR TEEN,5.6,25,XBOX 360
SPECTRAL FORCE GENESIS,2010-03-12,IDEA FACTORY,IGNITION ENTERTAINMENT,STRATEGY,RATED T FOR TEEN,7.8,0,DS
ODIN SPHERE LEIFTHRASIR,2016-06-07,VANILLAWARE,ATLUS,ACTION RPG,RATED T FOR TEEN,8.2,298,PLAYSTATION 4
DEATHSPANK,2010-07-14,HOTHEAD GAMES,ELECTRONIC ARTS,ACTION RPG,RATED T FOR TEEN,7.7,37,PC
DIGIMON WORLD 4,2005-06-02,BEC,BANDAI,ACTION RPG,RATED E FOR EVERYONE,6.2,45,GAMECUBE
WWF SMACKDOWN! JUST BRING IT,2001-11-18,YUKE'S,THQ,WRESTLING,RATED T FOR TEEN,7.4,27,PLAYSTATION 2
TWELVE MINUTES,2021-08-19,LUIS ANTONIO,ANNAPURNA INTERACTIVE,POINT-AND-CLICK,,6.2,547,PC
AAAAAAAAAAAAAAAAAAAAAAAAA!!! A RECKLESS DISREGARD FOR GRAVITY,2009-09-03,DEJOBAAN GAMES,DEJOBAAN GAMES,3D PLATFORMER,,6.0,57,PC
CONCEPTION II CHILDREN OF THE SEVEN STARS,2014-04-15,SPIKE CHUNSOFT,ATLUS,JRPG,RATED M FOR MATURE,7.1,105,PLAYSTATION VITA
DONKEY KONG COUNTRY TROPICAL FREEZE,2014-02-21,RETRO STUDIOS,NINTENDO,2D PLATFORMER,RATED E FOR EVERYONE,9.0,959,WII U
BIOLOGY BATTLE,2008-11-18,NOVALEAF GAME STUDIOS,NOVALEAF GAME STUDIOS,TOP-DOWN SHOOT-'EM-UP,,0.0,0,XBOX 360
AZURIK RISE OF PERATHIA,2001-11-25,ADRENIUM,MICROSOFT GAME STUDIOS,ACTION ADVENTURE,RATED T FOR TEEN,7.0,6,XBOX
FLOCK!,2009-04-08,PROPER GAMES,CAPCOM,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0,XBOX 360
FIFA 16,2015-09-22,EA SPORTS,EA SPORTS,SOCCER SIM,RATED E FOR EVERYONE,4.6,515,PLAYSTATION 4
DRAGON BALL Z THE LEGACY OF GOKU,2002-05-14,WEBFOOT TECHNOLOGIES,INFOGRAMES,ACTION RPG,RATED E FOR EVERYONE,6.3,28,GAME BOY ADVANCE
BATTLESHIP,2016-08-02,FRIMA STUDIO,UBISOFT,BOARD,RATED E +10 FOR EVERYONE +10,6.6,9,XBOX ONE
DAWNSPIRE PRELUDE,2007-04-03,SILENT GROVE STUDIOS,DREAMCATCHER INTERACTIVE,ACTION RPG,RATED T FOR TEEN,6.2,6,PC
THE GAME OF LIFE 2,2021-03-29,MARMALADE GAME STUDIO,MARMALADE GAME STUDIO,BOARD,RATED E FOR EVERYONE,3.3,6,IOS (IPHONE/IPAD)
GANG BEASTS,2017-12-12,BONELOAF,DOUBLE FINE PRODUCTIONS,PARTY,RATED E +10 FOR EVERYONE +10,6.5,106,PC
SHERLOCK HOLMES THE AWAKENED,2007-03-01,FROGWARES,FOCUS HOME INTERACTIVE,ADVENTURE,RATED M FOR MATURE,7.2,48,PC
AGE OF WONDERS III,2014-03-31,TRIUMPH STUDIOS,TRIUMPH STUDIOS,TURN-BASED STRATEGY,RATED T FOR TEEN,8.0,630,PC
STYLE SAVVY FASHION FORWARD,2016-08-19,SYN SOPHIA,NINTENDO,VIRTUAL CAREER,RATED E FOR EVERYONE,6.9,25,3DS
ZUMA DELUXE,2005-11-22,OBERON MEDIA,OBERON MEDIA,MATCHING PUZZLE,RATED E FOR EVERYONE,7.0,14,PLAYSTATION 3
STAR WARS EPISODE I BATTLE FOR NABOO,2001-03-11,FACTOR 5,LUCASARTS,SPACE COMBAT SIM,RATED T FOR TEEN,6.8,14,PC
GRIMGRIMOIRE,2007-06-26,VANILLAWARE,NIS AMERICA,COMMAND RTS,RATED E +10 FOR EVERYONE +10,8.9,2790,PLAYSTATION 2
SPORE,2008-09-07,MAXIS,EA GAMES,STRATEGY,RATED E +10 FOR EVERYONE +10,7.4,952,PC
PLANESCAPE TORMENT ENHANCED EDITION  ICEWIND DALE ENHANCED EDITION,2019-10-15,BEAMDOG,SKYBOUND GAMES,COMPILATION,RATED T FOR TEEN,7.0,12,PLAYSTATION 4
POCKETBIKE RACER,2006-11-19,BLITZ GAMES,KING GAMES,AUTO RACING,RATED E FOR EVERYONE,5.9,16,XBOX 360
LOST ECHO,2013-09-27,KICKBACK,KICKBACK,THIRD-PERSON ADVENTURE,,6.8,12,IOS (IPHONE/IPAD)
WOLFENSTEIN THE NEW ORDER,2014-05-20,MACHINEGAMES,BETHESDA SOFTWORKS,FPS,RATED M FOR MATURE,8.1,1962,PLAYSTATION 3
WINDS OF CHANGE,2021-06-03,KLACE,CRUNCHING KOALAS,VISUAL NOVEL,,9.6,15,PC
LEGO STAR WARS THE COMPLETE SAGA,2007-11-06,TRAVELLER'S TALES,LUCASARTS,COMPILATION,RATED E +10 FOR EVERYONE +10,8.4,284,PLAYSTATION 3
FINAL FANTASY PIXEL REMASTER,2021-07-28,TOSE,SQUARE ENIX,JRPG,RATED E FOR EVERYONE,6.4,95,PC
SHERLOCK HOLMES NEMESIS,2008-04-14,FROGWARES,THE ADVENTURE COMPANY,FIRST-PERSON ADVENTURE,RATED E +10 FOR EVERYONE +10,6.9,28,PC
GUN COMMANDO,2013-04-25,RIPSTONE,RIPSTONE,FPS,,0.0,0,IOS (IPHONE/IPAD)
PILOTWINGS 64,1996-09-29,NINTENDO,NINTENDO,AIRCRAFT SIM,,7.6,57,NINTENDO 64
NAMCO MUSEUM 50TH ANNIVERSARY,2005-08-30,BACKBONE VANCOUVER,NAMCO,COMPILATION,RATED E +10 FOR EVERYONE +10,0.0,0,XBOX
NEED FOR SPEED UNDERGROUND RIVALS,2005-03-14,TEAM FUSION,EA GAMES,AUTO RACING SIM,RATED E FOR EVERYONE,7.5,36,PSP
MOBILE SUIT GUNDAM CROSSFIRE,2006-11-13,BEC,NAMCO BANDAI GAMES,VEHICLE COMBAT SIM,RATED T FOR TEEN,4.9,23,PLAYSTATION 3
BLOCKS THAT MATTER,2011-08-19,SWING SWING SUBMARINE,SWING SWING SUBMARINE,2D PLATFORMER,,7.2,60,PC
DREAMWORKS SHREK FOREVER AFTER,2010-05-18,XPEC,ACTIVISION,ACTION ADVENTURE,RATED E +10 FOR EVERYONE +10,4.8,13,DS
CROSS OF THE DUTCHMAN,2015-09-10,TRIANGLE STUDIOS,TRIANGLE STUDIOS,ACTION ADVENTURE,,6.8,14,PC
APEX CONSTRUCT,2018-02-20,FAST TRAVEL GAMES,FAST TRAVEL GAMES,LIGHT GUN,RATED E +10 FOR EVERYONE +10,6.1,30,PLAYSTATION 4
PERSONA 4 ARENA,2012-08-07,ARC SYSTEM WORKS,ATLUS,2D FIGHTING,RATED T FOR TEEN,5.8,383,PLAYSTATION 3
ESPN NFL PRIMETIME 2002,2002-01-22,FARSIGHT TECHNOLOGIES,KONAMI,FOOTBALL SIM,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
DRAGON BALL Z BUDOKAI TENKAICHI 3,2007-12-03,SPIKE,ATARI SA,3D FIGHTING,RATED T FOR TEEN,8.8,104,PLAYSTATION 2
PLANETARY ANNIHILATION,2014-07-18,PLANETARY ANNIHILATION INC,NORDIC GAMES PUBLISHING,COMMAND RTS,RATED E +10 FOR EVERYONE +10,5.6,418,PC
WARHAMMER AGE OF SIGMAR TEMPESTFALL,2021-11-17,CARBON STUDIO,CARBON STUDIO,ACTION,,0.0,0,PC
MAGRUNNER DARK PULSE,2013-06-20,FROGWARES,FOCUS HOME INTERACTIVE,ACTION PUZZLE,RATED M FOR MATURE,7.2,71,PLAYSTATION 3
GRAVITY CRASH,2009-11-24,JUST ADD WATER,SCEA,TOP-DOWN SHOOT-'EM-UP,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 3
DUKE NUKEM 3D,2008-09-24,3D REALMS,3D REALMS,FPS,RATED M FOR MATURE,8.2,53,XBOX 360
DANCESTAR PARTY HITS,2012-10-12,SCEE,SCEE,DANCING,,0.0,0,PLAYSTATION 3
HEMAN THE MOST POWERFUL GAME IN THE UNIVERSE,2012-10-25,GLITCHSOFT,CHILLINGO,2D BEAT-'EM-UP,,6.8,0,IOS (IPHONE/IPAD)
WORMS OPEN WARFARE,2007-03-07,TEAM17,TEAM17,ARTILLERY,RATED E +10 FOR EVERYONE +10,7.9,15,PLAYSTATION 3
PRO RALLY,2002-11-11,UBISOFT,UBISOFT,AUTO RACING SIM,RATED E FOR EVERYONE,8.3,0,GAMECUBE
PRINNY 2 DAWN OF OPERATION PANTIES DOOD!,2011-01-10,NIPPON ICHI SOFTWARE,NIS AMERICA,2D PLATFORMER,RATED T FOR TEEN,8.1,57,PSP
PICROSS 3D ROUND 2,2016-09-01,HAL LABS,NINTENDO,LOGIC PUZZLE,RATED E FOR EVERYONE,7.8,45,3DS
ROGUE LORDS,2021-09-30,LEIKIR STUDIO,NACON,ROGUELIKE,RATED T FOR TEEN,4.2,14,PLAYSTATION 4
SPEEDBALL 2 EVOLUTION,2011-02-27,VIVID GAMES,TOWER STUDIOS,FUTURE SPORT,,0.0,0,PSP
MAG,2010-01-26,ZIPPER INTERACTIVE,SCEA,TACTICAL FPS,RATED T FOR TEEN,7.4,110,PLAYSTATION 3
UNCHARTED 2 AMONG THIEVES,2009-10-13,NAUGHTY DOG,SCEA,LINEAR ACTION ADVENTURE,RATED T FOR TEEN,8.8,6648,PLAYSTATION 3
TERROVER,2010-09-07,CREAT STUDIOS,SONY ONLINE ENTERTAINMENT,AUTO RACING SIM,RATED E FOR EVERYONE,7.3,10,PLAYSTATION 3
METAL FATIGUE,2000-07-31,ZONO INC.,TALONSOFT,REAL-TIME STRATEGY,RATED T FOR TEEN,8.8,55,PC
SMASH COURT TENNIS PRO TOURNAMENT,2002-03-20,NAMCO,NAMCO,TENNIS,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
THE IMPOSSIBLE GAME,2014-05-08,GRIP GAMES,FLUKEDUDE,2D PLATFORMER,,7.1,20,PSP
SUMMER IN MARA,2020-06-16,CHIBIG,CHIBIG,ADVENTURE,RATED E +10 FOR EVERYONE +10,7.4,39,NINTENDO SWITCH
AZURE STRIKER GUNVOLT STRIKER PACK,2017-11-21,INTI CREATES,INTI CREATES,COMPILATION,RATED T FOR TEEN,8.0,51,3DS
RASKULLS,2010-12-29,HALFBRICK STUDIOS,HALFBRICK STUDIOS,ACTION PUZZLE,RATED E +10 FOR EVERYONE +10,7.5,23,XBOX 360
SENRAN KAGURA 2 DEEP CRIMSON,2015-09-15,TAMSOFT,MARVELOUS INC.,2D BEAT-'EM-UP,,6.6,85,3DS
STILL THERE,2019-11-20,GHOSTSHARK GAMES,ICEBERG INTERACTIVE,ADVENTURE,RATED T FOR TEEN,7.9,11,PC
MARIO & LUIGI BOWSER'S INSIDE STORY,2009-09-14,ALPHADREAM CORPORATION,NINTENDO,JRPG,RATED E FOR EVERYONE,8.8,438,DS
DEADLY PREMONITION 2 A BLESSING IN DISGUISE,2020-07-10,TOYBOX,RISING STAR GAMES,SURVIVAL,RATED M FOR MATURE,5.5,202,NINTENDO SWITCH
HARBINGER,2003-02-26,SILVERBACK ENTERTAINMENT,DREAMCATCHER INTERACTIVE,ACTION RPG,RATED T FOR TEEN,7.5,16,PC
7 DAYS TO DIE,2016-06-28,IRON GALAXY STUDIOS,TELLTALE GAMES,SURVIVAL,RATED M FOR MATURE,5.6,157,PLAYSTATION 4
DEAD OR ALIVE,1998-03-31,TEAM NINJA,TECMO,3D FIGHTING,RATED T FOR TEEN,8.2,38,PLAYSTATION
FINAL FANTASY V PIXEL REMASTER,2021-11-10,TOSE,SQUARE ENIX,JRPG,,7.2,20,PC
AKIMI VILLAGE,2011-06-15,NINJABEE,SONY ONLINE ENTERTAINMENT,MISCELLANEOUS,RATED E FOR EVERYONE,4.2,6,PLAYSTATION 3
THE DISNEY AFTERNOON COLLECTION,2017-04-18,DIGITAL ECLIPSE,CAPCOM,COMPILATION,RATED E +10 FOR EVERYONE +10,6.4,14,XBOX ONE
FELL SEAL ARBITER'S MARK,2019-04-30,6 EYES STUDIO,1C ENTERTAINMENT,TURN-BASED TACTICS,RATED T FOR TEEN,7.4,50,PC
CASTLE OF SHIKIGAMI,2003-03-19,ALFA SYSTEM,XS GAMES,VERTICAL SHOOT-'EM-UP,RATED E FOR EVERYONE,0.0,0,PC
LITTLE DEVIANTS,2012-02-15,BIGBIG STUDIOS,SCEA,PARTY,RATED E +10 FOR EVERYONE +10,5.4,62,PLAYSTATION VITA
FIGHTER DESTINY 2,2000-07-14,OPUS,SOUTHPEAK GAMES,3D FIGHTING,RATED T FOR TEEN,6.9,9,NINTENDO 64
HARD RESET REDUX,2016-06-03,FLYING WILD HOG,GAMBITIOUS,FPS,RATED M FOR MATURE,6.7,20,PLAYSTATION 4
TUROK 2 SEEDS OF EVIL REMASTER,2019-08-09,NIGHT DIVE STUDIOS,NIGHT DIVE STUDIOS,FPS,RATED M FOR MATURE,7.4,10,PC
PACMAN DASH!,2013-07-18,,,2D PLATFORMER,,0.0,0,IOS (IPHONE/IPAD)
STRATEGIC COMMAND EUROPEAN THEATER,2002-07-16,FURY SOFTWARE,BATTLEFRONT.COM,TURN-BASED STRATEGY,,0.0,0,PC
WARTALES,2023-04-12,SHIRO GAMES,SHIRO GAMES,ACTION RPG,,7.9,51,PC
VIRTUA ATHLETE 2000,2001-08-10,HITMAKER,AGETEC,ATHLETICS,RATED E FOR EVERYONE,8.0,6,DREAMCAST
WIPEOUT 3,1999-09-23,PSYGNOSIS,PSYGNOSIS,FUTURE RACING,RATED E FOR EVERYONE,8.3,42,PLAYSTATION
ALIENS VERSUS PREDATOR 2 PRIMAL HUNT EXPANSION PACK,2002-08-13,THIRD LAW INTERACTIVE,SIERRA ENTERTAINMENT,FPS,RATED M FOR MATURE,6.9,25,PC
JUMPGATE THE RECONSTRUCTION INITIATIVE,2001-09-23,NETDEVIL,3DO,SPACE SIM,RATED E FOR EVERYONE,0.0,0,PC
LOST CITIES,2008-04-23,SIERRA ONLINE SHANGHAI,SIERRA ONLINE,BOARD,RATED E FOR EVERYONE,0.0,0,XBOX 360
TACTICAL OPS ASSAULT ON TERROR,2002-04-24,KAMEHAN STUDIOS,INFOGRAMES,FPS,RATED M FOR MATURE,7.7,14,PC
NAVAL WARFARE,2010-05-19,GAMES DISTILLERY,MICROSOFT GAME STUDIOS,TOP-DOWN SHOOT-'EM-UP,RATED E +10 FOR EVERYONE +10,5.0,7,XBOX 360
POKEMON WHITE VERSION,2011-03-06,GAME FREAK,NINTENDO,TRAINER RPG,RATED E FOR EVERYONE,7.9,810,DS
MUTANT YEAR ZERO ROAD TO EDEN,2018-12-04,THE BEARDED LADIES CONSULTING,FUNCOM,TURN-BASED TACTICS,RATED M FOR MATURE,7.8,354,PLAYSTATION 4
STRONGHOLD LEGENDS,2006-10-23,FIREFLY STUDIOS,2K GAMES,REAL-TIME STRATEGY,RATED T FOR TEEN,7.4,65,PC
RUSH'N ATTACK EXPATRIOT,2011-03-30,VATRA,KONAMI,2D PLATFORMER,RATED M FOR MATURE,6.6,8,XBOX 360
HISTORY LEGENDS OF WAR PATTON,2012-11-06,ENIGMA SOFTWARE PRODUCTIONS,MAXIMUM GAMES,TURN-BASED STRATEGY,RATED T FOR TEEN,6.3,7,PLAYSTATION VITA
THE PERSISTENCE VR,2018-07-24,FIRESPRITE,FIRESPRITE,FIRST-PERSON ADVENTURE,RATED M FOR MATURE,8.2,76,PLAYSTATION 4
WARHAMMER 40000 ETERNAL CRUSADE,2016-09-23,BEHAVIOUR INTERACTIVE,BANDAI NAMCO GAMES,MMORPG,,4.7,59,PC
ROBINSON THE JOURNEY,2016-11-08,CRYTEK,SONY INTERACTIVE ENTERTAINMENT,ACTION ADVENTURE,RATED E FOR EVERYONE,6.7,95,PC
SOUL OF DARKNESS,2010-07-05,GAMELOFT,GAMELOFT,ADVENTURE,RATED T FOR TEEN,7.6,8,DS
ADAM'S VENTURE CHRONICLES,2014-02-04,VERTIGO GAMES,PLAYLOGIC,ACTION,RATED E FOR EVERYONE,5.7,9,PLAYSTATION 3
ROAD RASH JAILBREAK,2003-09-11,MAGIC POCKETS,ELECTRONIC ARTS,AUTO RACING,RATED T FOR TEEN,5.2,10,GAME BOY ADVANCE
SPY HUNTER,2001-09-24,PARADIGM ENTERTAINMENT,MIDWAY,AUTO RACING,RATED T FOR TEEN,8.2,12,PLAYSTATION 2
THE TALES OF BEARSWORTH MANOR PUZZLING PAGES,2010-06-21,SQUARE ENIX,SQUARE ENIX,ACTION PUZZLE,RATED E FOR EVERYONE,0.0,0,WII
VEGAS TYCOON,2004-01-15,DEEP RED,GLOBAL STAR SOFTWARE,TYCOON,RATED T FOR TEEN,5.0,0,PC
VIEWTIFUL JOE DOUBLE TROUBLE!,2005-11-18,CLOVER STUDIO,CAPCOM,2D BEAT-'EM-UP,RATED T FOR TEEN,8.3,10,DS
PACMAN MUSEUM,2014-02-26,NAMCO BANDAI GAMES,NAMCO BANDAI GAMES,COMPILATION,RATED E FOR EVERYONE,5.3,7,PLAYSTATION 3
SLED STORM,2002-03-11,ELECTRONIC ARTS,EA SPORTS BIG,ARCADE RACING,RATED T FOR TEEN,6.4,5,PLAYSTATION 2
PAPA SANGRE,2010-12-18,SOMETHIN' ELSE,SOMETHIN' ELSE,PUZZLE,,0.0,0,IOS (IPHONE/IPAD)
BLOOD OF THE WEREWOLF,2013-10-28,SCIENTIFICALLY PROVEN,MIDNIGHT CITY,2D PLATFORMER,RATED T FOR TEEN,7.5,45,PC
POKEMON GO,2016-07-06,NIANTIC LABS,NIANTIC LABS,TRAINER RPG,,5.6,755,IOS (IPHONE/IPAD)
XGRA EXTREME G RACING ASSOCIATION,2003-09-11,ACCLAIM STUDIOS CHELTENHAM,ACCLAIM,FUTURE RACING,RATED T FOR TEEN,0.0,0,PLAYSTATION 2
MEMBRANE,2018-02-22,PERFECT HAT,PERFECT HAT,ACTION PUZZLE,RATED E FOR EVERYONE,7.5,30,NINTENDO SWITCH
FEAR FILES,2007-11-06,TIMEGATE STUDIOS,SIERRA ENTERTAINMENT,FPS,RATED M FOR MATURE,7.7,15,XBOX 360
EA SPORTS MMA,2010-10-19,EA TIBURON,EA SPORTS,COMBAT SPORT,RATED T FOR TEEN,7.9,53,PLAYSTATION 3
