title,released,developer,publisher,genres,rating,user score,ratings_count,platforms
GAME DEV STORY,2010-10-09,KAIROSOFT CO. LTD,KAIROSOFT CO. LTD,TYCOON,RATED E FOR EVERYONE,7.9,81,IOS (IPHONE/IPAD)
HELP WILL COME TOMORROW,2020-04-21,ARCLIGHT CREATIONS,KLABATER,REAL-TIME STRATEGY,RATED E +10 FOR EVERYONE +10,7.4,16,PC
THE SIMS LIFE STORIES,2007-02-06,MAXIS,EA GAMES,VIRTUAL LIFE,RATED T FOR TEEN,7.0,8,PC
PRO CYCLING MANAGER SEASON 2015,2015-06-18,CYANIDE,FOCUS HOME INTERACTIVE,BIKING,,7.0,7,PC
SUPER MONKEY BALL BANANA BLITZ,2006-11-14,SEGA,SEGA,PARTY,RATED E FOR EVERYONE,5.8,42,WII
COSTUME QUEST 2,2014-10-07,DOUBLE FINE PRODUCTIONS,MIDNIGHT CITY,JRPG,RATED E +10 FOR EVERYONE +10,7.2,45,PC
CASSETTE BEASTS,2023-04-26,BYTTEN STUDIO,RAW FURY,TRAINER RPG,,8.3,66,PC
BLASTER MASTER ZERO,2017-03-09,INTI CREATES,INTI CREATES,2D PLATFORMER,RATED E FOR EVERYONE,7.6,140,3DS
BIPED,2020-04-08,NEXT STUDIOS,NEXT STUDIOS,3D PLATFORMER,RATED E FOR EVERYONE,7.9,47,NINTENDO SWITCH
TIGER WOODS PGA TOUR 12,2011-03-29,EXIENT ENTERTAINMENT,ELECTRONIC ARTS,GOLF SIM,,0.0,0,IOS (IPHONE/IPAD)
GRAND AGES ROME,2009-03-17,HAEMIMONT GAMES,VIVA MEDIA,REAL-TIME STRATEGY,RATED T FOR TEEN,8.3,51,PC
PINBALL FX 2 MARVEL PINBALL,2010-12-08,ZEN STUDIOS,ZEN STUDIOS,PINBALL,RATED E FOR EVERYONE,8.4,20,XBOX 360
MIGHT & MAGIC CHESS ROYALE,2020-01-30,UBISOFT,UBISOFT,TURN-BASED TACTICS,,3.3,29,IOS (IPHONE/IPAD)
MADDEN NFL 18,2017-08-22,ELECTRONIC ARTS,ELECTRONIC ARTS,FOOTBALL SIM,RATED E FOR EVERYONE,3.6,170,XBOX ONE
THE SIMS 3 PETS,2011-10-18,THE SIMS STUDIO,ELECTRONIC ARTS,VIRTUAL LIFE,RATED T FOR TEEN,6.1,77,PC
UBERSOLDIER,2006-03-31,BURUT SOFTWARE,CDV SOFTWARE,TACTICAL FPS,RATED M FOR MATURE,5.4,15,PC
FARMING SIMULATOR 23,2023-05-23,GIANTS SOFTWARE,GIANTS SOFTWARE,VIRTUAL CAREER,RATED E FOR EVERYONE,7.2,5,NINTENDO SWITCH
RIDING SPIRITS,2002-08-31,SPIKE,BAM ENTERTAINMENT,AUTO RACING SIM,RATED E FOR EVERYONE,0.0,0,PLAYSTATION 2
THE CHOSEN  WELL OF SOULS,2007-10-01,REBELMIND,MERIDIAN4,ACTION RPG,RATED T FOR TEEN,4.9,9,PC
THE SIMPSONS ARCADE GAME,2012-02-03,,,2D BEAT-'EM-UP,RATED E +10 FOR EVERYONE +10,6.9,25,XBOX 360
OHSIR! THE INSULT SIMULATOR,2017-05-30,VILE MONARCH,GAMBITIOUS,SIMULATION,RATED T FOR TEEN,5.8,0,IOS (IPHONE/IPAD)
DEAD AHEAD,2013-05-23,CHILLINGO,CHILLINGO,ACTION,,6.8,8,IOS (IPHONE/IPAD)
CORPSE OF DISCOVERY,2015-08-25,"PHOSPHOR GAMES STUDIO, LLC","PHOSPHOR GAMES STUDIO, LLC",FIRST-PERSON ADVENTURE,,1.9,7,PC
CHAOS ON DEPONIA,2012-11-06,DAEDALIC ENTERTAINMENT,DAEDALIC ENTERTAINMENT,POINT-AND-CLICK,RATED T FOR TEEN,8.3,240,PC
SQUIDS ODYSSEY,2014-05-22,THE GAME BAKERS,THE GAME BAKERS,JRPG,RATED E FOR EVERYONE,7.1,8,3DS
DREAM TRIGGER 3D,2011-05-10,"ART CO., LTD.",D3PUBLISHER,TOP-DOWN SHOOT-'EM-UP,RATED E FOR EVERYONE,6.4,30,3DS
SNIPPERCLIPS PLUS CUT IT OUT TOGETHER!,2017-11-10,SFB GAMES,NINTENDO,PUZZLE,RATED E FOR EVERYONE,8.0,96,NINTENDO SWITCH
TYPERIDER,2013-10-10,,,2D PLATFORMER,,6.6,17,IOS (IPHONE/IPAD)
STALIN VS MARTIANS,2009-04-29,BLACK WING FOUNDATION,MEZMER GAMES,REAL-TIME STRATEGY,,5.0,31,PC
FOOTBALL MANAGER HANDHELD,,SPORTS INTERACTIVE,SEGA,SOCCER MANAGEMENT,RATED E FOR EVERYONE,0.0,0,PC
MARIO PARTY SUPERSTARS,2021-10-29,ND CUBE,NINTENDO,PARTY,RATED E FOR EVERYONE,7.9,321,NINTENDO SWITCH
99BULLETS,2011-05-23,ENJOYUP GAMES,ENJOYUP GAMES,VERTICAL SHOOT-'EM-UP,RATED E FOR EVERYONE,0.0,0,DS
